name,Clunky,Current rating,Intimidation,Kill?,Last edited time,Maybe character ability instead?,N/A,Tags,Type,backgroundPath,buy_power,buy_power_icons,clique,cliquePath,clique_icon,cost,effect,effect_power,flipped clique,flipped power,gumball_wad,hand_icons,hand_icons (1),hand_icons (1) 1,hand_icons (1) 2,hand_icons (1) 3,hand_icons (1) 5,hand_icons (1) 6,hand_icons (2),hand_icons (3),hand_power,played_icon_path,played_icons (1),played_icons (1) 2,played_icons_1,played_icons_2,played_icons_3,played_icons_4,played_icons_5,played_icons_6,played_power,quantity,tag1Path,tag2Path
By my calculations,No,,1,No,"May 24, 2026 5:15 PM",No,No,,Market card,backgrounds/Mathlete.jpg,,,mathlete: recruit kids,icons/lunch_money.svg,lunch_money.svg:1,1,no,,,,1,reorder.svg:1,,,,,,,,,,icons/cardmove.svg,,,cardmove.svg:2,,,,,,Move 2 cards to the back of the line,1,icons/blank.svg,icons/blank.svg
Sloppy joe mouth,No,,2,No,"May 24, 2026 5:15 PM",No,No,banana.svg:1,Market card,backgrounds/Mathlete.jpg,,,mathlete: recruit kids,icons/lunch_money.svg,lunch_money.svg:1,1,no,,,,2,card.svg:1,,,,,,,,,+2 cards,icons/any_resource.svg,,,any_resource.svg:1,,,,,,+1 resource,1,icons/banana.svg,icons/blank.svg
Double scuffle,No,,,No,"July 5, 2026 2:00 PM",No,No,flex.svg:1,Market card,backgrounds/PE_Enthusiast.jpg,,,PE enthusiast: scuffle 1x/+1 rock,icons/scuffle.svg,scuffle.svg:1,1,no,,,,2,intimidation.svg:3,,,,,,,,,,icons/scuffle.svg,,,scuffle.svg:1,,,,,,Initiate an extra scuffle with a second player,1,icons/flex.svg,icons/blank.svg
Tight grip,No,,1,No,"May 24, 2026 5:15 PM",No,No,,Market card,backgrounds/Dirt_Specialist.jpg,,,dirt specialist: build bases,icons/stick.svg,stick.svg:1,1,no,,,,1,keep_cards.svg:1,,,,,,,,,,icons/keep_cards.svg,,,keep_cards.svg:1,,,,,,Keep the other card you play(ed) this turn in place,1,icons/blank.svg,icons/blank.svg
Ruckus,No,,,No,"July 5, 2026 2:00 PM",No,No,flex.svg:1,Market card,backgrounds/Dirt_Specialist.jpg,,,dirt specialist: build bases,icons/stick.svg,stick.svg:1,1,no,,,,2,intimidation.svg:3,,,,,,,,,,icons/scuffle.svg,,,scuffle.svg:1,,,,,,Initiate a scuffle,1,icons/flex.svg,icons/blank.svg
Time’s up,No,,1,No,"May 24, 2026 5:15 PM",No,No,,Market card,backgrounds/Hall_Monitor.jpg,,,hall monitor: move kids,icons/hall_pass.svg,hall_pass.svg:1,1,no,,,,1,reorder.svg:1,,,,,,,,,,icons/cardmove.svg,,,cardmove.svg:2,,,,,,Move 2 cards to the back of the line,1,icons/blank.svg,icons/blank.svg
Your hands are too clean,No,,1,No,"May 24, 2026 5:15 PM",No,No,,Market card,backgrounds/Dirt_Specialist.jpg,,,dirt specialist: build bases,icons/stick.svg,stick.svg:1,1,no,,,,1,reorder.svg:1,,,,,,,,,,icons/cardmove.svg,,,cardmove.svg:2,,,,,,Move 2 cards to the back of the line,1,icons/blank.svg,icons/blank.svg
Whip it up,No,,,No,"May 24, 2026 5:15 PM",No,No,banana.svg:1,Market card,backgrounds/Dirt_Specialist.jpg,,,dirt specialist: build bases,icons/stick.svg,stick.svg:1,1,no,,,,2,intimidation.svg:3,,,,,,,,,,icons/recruit.svg,,,recruit.svg:1,,,,,,Recruit kids (still pay the cost),1,icons/banana.svg,icons/blank.svg
Beef up,No,,2,No,"July 5, 2026 2:00 PM",Yes,No,flex.svg:1,Market card,backgrounds/PE_Enthusiast.jpg,,,PE enthusiast: scuffle 1x/+1 rock,icons/scuffle.svg,scuffle.svg:1,1,no,,,,,lunch_money.svg:1,,,,,,,,,+1 lunch money,icons/rock.svg,,,rock.svg:1,,,,,,+1 rock on scuffles this turn,1,icons/flex.svg,icons/blank.svg
Get going,No,,,No,"May 24, 2026 5:15 PM",No,No,backpack.svg:1,Market card,backgrounds/Mathlete.jpg,,,mathlete: recruit kids,icons/lunch_money.svg,lunch_money.svg:1,1,no,,,,2,intimidation.svg:3,,,,,,,,,,icons/move.svg,,,move.svg:1,,,,,,Move kids (still pay the cost),1,icons/backpack.svg,icons/blank.svg
Creatine child,No,,2,No,"July 5, 2026 2:00 PM",Yes,No,flex.svg:1,Market card,backgrounds/PE_Enthusiast.jpg,,,PE enthusiast: scuffle 1x/+1 rock,icons/scuffle.svg,scuffle.svg:1,3,no,,,,,lunch_money.svg:1,,,,,,,,,,icons/rock.svg,,,rock.svg:2,,,,,,+2 rocks on scuffles this turn,1,icons/flex.svg,icons/blank.svg
What’re the odds,No,,,No,"July 5, 2026 2:00 PM",No,No,dice.svg:1,Market card,backgrounds/Sandbox.jpg,Add to Sandbox,,effect,icons/sandbox.svg,,1,yes,"When using a card with a dice tag: before rolling, call your roll; if you’re right, play the card again",,,,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/dice.svg,icons/blank.svg
Big bubbles,No,,,No,"May 24, 2026 5:15 PM",No,No,candy.svg:1,Market card,backgrounds/All_Cliques.jpg,,,all cliques,icons/all_cliques.svg,all_cliques.svg:1,3,no,,,,,,,,,,,,,,,icons/gumball.svg,,,gumball.svg:3,,,,,,+3 gumballs,1,icons/candy.svg,icons/blank.svg
Tussle,No,,,No,"July 5, 2026 2:00 PM",No,No,flex.svg:1,Market card,backgrounds/Mathlete.jpg,,,mathlete: recruit kids,icons/lunch_money.svg,lunch_money.svg:1,1,no,,,,2,intimidation.svg:3,,,,,,,,,,icons/scuffle.svg,,,scuffle.svg:1,,,,,,Initiate a scuffle,1,icons/flex.svg,icons/blank.svg
Unorthodox play,No,,2,No,"May 24, 2026 5:15 PM",No,No,wild.svg:1,Market card,backgrounds/Dirt_Specialist.jpg,,,dirt specialist: build bases,icons/stick.svg,stick.svg:1,3,no,,,,2,card.svg:1,,,,,,,,,+2 cards,icons/any_resource.svg,,,any_resource.svg:2,,,,,,+2 any resource,1,icons/wild.svg,icons/blank.svg
Brown nose,No,,2,No,"May 24, 2026 5:15 PM",No,No,backpack.svg:1,Market card,backgrounds/Hall_Monitor.jpg,,,hall monitor: move kids,icons/hall_pass.svg,hall_pass.svg:1,1,no,,,,2,card.svg:1,,,,,,,,,+2 cards,icons/any_resource.svg,,,any_resource.svg:1,,,,,,+1 resource,1,icons/backpack.svg,icons/blank.svg
Advantage,No,,,No,"July 5, 2026 2:00 PM",No,No,dice.svg:1,Market card,backgrounds/Sandbox.jpg,Add to Sandbox,,effect,icons/sandbox.svg,,3,yes,When using a card with a dice tag: roll twice and choose a result,,,,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/dice.svg,icons/blank.svg
Dirt cheeks,No,,2,No,"May 24, 2026 5:15 PM",No,No,bug.svg:1,Market card,backgrounds/Dirt_Specialist.jpg,,,dirt specialist: build bases,icons/stick.svg,stick.svg:1,1,no,,,,2,card.svg:1,,,,,,,,,+2 cards,icons/any_resource.svg,,,any_resource.svg:1,,,,,,+1 resource,1,icons/bug.svg,icons/blank.svg
Confidence builder,No,,,No,"July 5, 2026 2:00 PM",No,No,flex.svg:1,Market card,backgrounds/Sandbox.jpg,,,effect,icons/sandbox.svg,,3,yes,"Whenever you win a scuffle, cache a rock on any tile you control",,,,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/flex.svg,icons/blank.svg
