name,cliquetabPath,backgroundPath,cost,playedPower,flavor,icon1,icon2,icon3,artPath,powerType,powerDescription,isSandbox,quantity
Time’s up,tabs/Hall_Monitor.png,backgrounds/Hall_Monitor.png,0,Move 2 cards to the back of the line,,tabs/backpack.png,tabs/blank.png,tabs/blank.png,art/Time’s_up.png,,,No,1
Your hands are too clean,tabs/Dirt_Specialist.png,backgrounds/Dirt_Specialist.png,0,Move 2 cards to the back of the line,,tabs/bug.png,tabs/blank.png,tabs/blank.png,art/Your_hands_are_too_clean.png,,,No,1
By my calculations,tabs/Mathlete.png,backgrounds/Mathlete.png,0,Move 2 cards to the back of the line,,tabs/banana.png,tabs/blank.png,tabs/blank.png,art/By_my_calculations.png,,,No,1
What’re the odds,tabs/,backgrounds/,0,"Dice tag: before rolling, call your roll; if you’re right, play the card again",,tabs/dice.png,tabs/blank.png,tabs/blank.png,art/What’re_the_odds.png,,,Yes,1
Secret tunnel,tabs/Hall_Monitor.png,backgrounds/Hall_Monitor.png,0,Move kids between bases on tiles you own for the regular cost,,tabs/blank.png,tabs/blank.png,tabs/blank.png,art/Secret_tunnel.png,,,No,1
He went that way,tabs/Hall_Monitor.png,backgrounds/Hall_Monitor.png,0,You may move another player’s kids instead of your own,,tabs/blank.png,tabs/blank.png,tabs/blank.png,art/He_went_that_way.png,,,No,1
Child mercenary,tabs/PE_Enthusiast.png,backgrounds/PE_Enthusiast.png,0,You may scuffle using another player’s kids,,tabs/blank.png,tabs/blank.png,tabs/blank.png,art/Child_mercenary.png,,,No,1
Skirmish,tabs/Hall_Monitor.png,backgrounds/Hall_Monitor.png,0,Start a scuffle,,tabs/flex.png,tabs/blank.png,tabs/blank.png,art/Skirmish.png,,,No,1
Ruckus,tabs/Dirt_Specialist.png,backgrounds/Dirt_Specialist.png,0,Start a scuffle,,tabs/flex.png,tabs/blank.png,tabs/blank.png,art/Ruckus.png,,,No,1
Tussle,tabs/Mathlete.png,backgrounds/Mathlete.png,0,Start a scuffle,,tabs/flex.png,tabs/blank.png,tabs/blank.png,art/Tussle.png,,,No,1
Double scuffle,tabs/PE_Enthusiast.png,backgrounds/PE_Enthusiast.png,0,Start an extra scuffle with a second player,,tabs/flex.png,tabs/blank.png,tabs/blank.png,art/Double_scuffle.png,,,No,1
Young & wild,tabs/All_Cliques.png,backgrounds/All_Cliques.png,0,,,tabs/wild.png,tabs/blank.png,tabs/blank.png,art/Young_&_wild.png,,,No,1
Seat’s taken,tabs/Hall_Monitor.png,backgrounds/Hall_Monitor.png,1,Build bases (still pay the cost),,tabs/bug.png,tabs/blank.png,tabs/blank.png,art/Seat’s_taken.png,,,No,1
Confidence builder,tabs/,backgrounds/,1,Flex tag: Cache a rock at a base on any tile you control,,tabs/flex.png,tabs/blank.png,tabs/blank.png,art/Confidence_builder.png,,,Yes,1
Stick it to them,tabs/PE_Enthusiast.png,backgrounds/PE_Enthusiast.png,1,Spend 1 stick for an extra rock,,tabs/flex.png,tabs/bug.png,tabs/blank.png,art/Stick_it_to_them.png,,,No,1
Food fight,tabs/PE_Enthusiast.png,backgrounds/PE_Enthusiast.png,1,Spend 1 hall pass for an extra rock,,tabs/flex.png,tabs/backpack.png,tabs/blank.png,art/Food_fight.png,,,No,1
Bubble battle,tabs/PE_Enthusiast.png,backgrounds/PE_Enthusiast.png,1,Spend 1 gumball for an extra rock,,tabs/flex.png,tabs/candy.png,tabs/blank.png,art/Bubble_battle.png,,,No,1
Teacher-sanctioned fight,tabs/PE_Enthusiast.png,backgrounds/PE_Enthusiast.png,1,Spend 1 lunch money for an extra rock,,tabs/flex.png,tabs/banana.png,tabs/blank.png,art/Teacher-sanctioned_fight.png,,,No,1
Sloppy joe mouth,tabs/Mathlete.png,backgrounds/Mathlete.png,1,+1 resource,,tabs/banana.png,tabs/blank.png,tabs/blank.png,art/Sloppy_joe_mouth.png,,,No,1
Same teams,tabs/Dirt_Specialist.png,backgrounds/Dirt_Specialist.png,1,Keep the other card you play(ed) this turn in place,,tabs/blank.png,tabs/blank.png,tabs/blank.png,art/Same_teams.png,,,No,1
Whip it up,tabs/Dirt_Specialist.png,backgrounds/Dirt_Specialist.png,1,Recruit kids (still pay the cost),,tabs/banana.png,tabs/blank.png,tabs/blank.png,art/Whip_it_up.png,,,No,1
Get going,tabs/Mathlete.png,backgrounds/Mathlete.png,1,Move kids (still pay the cost),,tabs/backpack.png,tabs/blank.png,tabs/blank.png,art/Get_going.png,,,No,1
Brown nose,tabs/Hall_Monitor.png,backgrounds/Hall_Monitor.png,1,+1 resource,,tabs/backpack.png,tabs/blank.png,tabs/blank.png,art/Brown_nose.png,,,No,1
Dirt cheeks,tabs/Dirt_Specialist.png,backgrounds/Dirt_Specialist.png,1,+1 resource,,tabs/bug.png,tabs/blank.png,tabs/blank.png,art/Dirt_cheeks.png,,,No,1
Scared of germs,tabs/Dirt_Specialist.png,backgrounds/Dirt_Specialist.png,2,,,tabs/blank.png,tabs/blank.png,tabs/blank.png,art/Scared_of_germs.png,When bought,Put permanently at back of line,No,1
But it’s an emergency,tabs/,backgrounds/,2,Backpack tag: +1 resource,,tabs/backpack.png,tabs/blank.png,tabs/blank.png,art/But_it’s_an_emergency.png,,,Yes,1
Gum gum gatling,tabs/,backgrounds/,2,Candy tag: +1 resource,,tabs/candy.png,tabs/blank.png,tabs/blank.png,art/Gum_gum_gatling.png,,,Yes,1
Rummage,tabs/Dirt_Specialist.png,backgrounds/Dirt_Specialist.png,2,+2 sticks,,tabs/bug.png,tabs/blank.png,tabs/blank.png,art/Rummage.png,,,No,1
