name,cost,Tags,Clunky,N/A,played_power,quantity,buy_power,buy_power_icons,clique,clique_icon,played_icons,played_icons (1) 7,played_icons (1) 5,played_icons (1) 3,played_icons (1) 4,played_icons (1) 1,played_icons (1) 2,played_icons (1),played_icons (2),Current rating,Type,effect,effect_power,Last edited time,Maybe character ability instead?,Kill?,flipped clique,flipped power
Skirmish,1,flex.svg:1,No,No,Initiate a scuffle,1,,,hall monitor: move kids,hall_pass.svg:1,scuffle.svg:1,,,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Dirt cheeks,1,bug.svg:1,No,No,+1 resource,1,,,dirt specialist: build bases,stick.svg:1,any_resource.svg:1,,,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Brown nose,1,backpack.svg:1,No,No,+1 resource,1,,,hall monitor: move kids,hall_pass.svg:1,any_resource.svg:1,,,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Tussle,1,flex.svg:1,No,No,Initiate a scuffle,1,,,mathlete: recruit kids,lunch_money.svg:1,scuffle.svg:1,,,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
What’re the odds,1,dice.svg:1,No,No,,1,Add to Sandbox,,effect,,,,,,,,,,,,Market card,yes,"When using a card with a dice tag: before rolling, call your roll; if you’re right, play the card again","May 13, 2026 12:51 PM",No,No,,
Get going,1,backpack.svg:1,No,No,Move kids (still pay the cost),1,,,mathlete: recruit kids,lunch_money.svg:1,move.svg:1,,,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Beef up,1,flex.svg:1,No,No,+1 rock on scuffles this turn,1,,,PE enthusiast: scuffle 1x/+1 rock,scuffle.svg:1,rock.svg:1,,,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",Yes,No,,
Whip it up,1,banana.svg:1,No,No,Recruit kids (still pay the cost),1,,,dirt specialist: build bases,stick.svg:1,recruit.svg:1,,,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Your hands are too clean,1,,No,No,Move 2 cards to the back of the line,1,,,dirt specialist: build bases,stick.svg:1,cardmove.svg:2,,,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Time’s up,1,,No,No,Move 2 cards to the back of the line,1,,,hall monitor: move kids,hall_pass.svg:1,cardmove.svg:2,,,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Ruckus,1,flex.svg:1,No,No,Initiate a scuffle,1,,,dirt specialist: build bases,stick.svg:1,scuffle.svg:1,,,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Tight grip,1,,No,No,Keep the other card you play(ed) this turn in place,1,,,dirt specialist: build bases,stick.svg:1,keep_cards.svg:1,,,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Double scuffle,1,flex.svg:1,No,No,Initiate an extra scuffle with a second player,1,,,PE enthusiast: scuffle 1x/+1 rock,scuffle.svg:1,scuffle.svg:1,,,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Sloppy joe mouth,1,banana.svg:1,No,No,+1 resource,1,,,mathlete: recruit kids,lunch_money.svg:1,any_resource.svg:1,,,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
By my calculations,1,,No,No,Move 2 cards to the back of the line,1,,,mathlete: recruit kids,lunch_money.svg:1,cardmove.svg:2,,,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Scared of bars,2,,No,No,,1,Put permanently at back of line,,mathlete: recruit kids,lunch_money.svg:1,,,,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Stick it to them,2,"bug.svg:1, flex.svg:1",No,No,"Swap up to 2 sticks for extra intimidation, 1:1",1,,,PE enthusiast: scuffle 1x/+1 rock,scuffle.svg:1,stick.svg:1,trade.svg:1,intimidation.svg:1,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",Yes,No,,
Complayground interest,2,banana.svg:1,No,No,,1,Add to Sandbox,,effect,,,,,,,,,,,,Market card,yes,When using a card with the banana tag: +1 resource,"May 13, 2026 12:51 PM",No,No,,
Nice and stuck,2,bug.svg:1,No,No,,1,Add to Sandbox,,effect,,,,,,,,,,,,Market card,yes,When using a card with the bug tag: +1 resource,"May 13, 2026 12:51 PM",No,No,,
Scared of monkeys,2,,No,No,,1,Put permanently at back of line,,PE enthusiast: scuffle 1x/+1 rock,scuffle.svg:1,,,,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Main squeeze,2,,No,No,"Pick a player—they are now your boyfriend; to scuffle, you have to break up, which costs them an action but is free for you. <br>
Swap 1 resource with your boyfriend.",1,,,hall monitor: move kids,hall_pass.svg:1,blank.svg:1,blank.svg:1,boyfriend.svg:1,any_resource.svg:1,trade.svg:1,any_resource.svg:1,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Rummage,2,bug.svg:1,No,No,+2 sticks,1,,,dirt specialist: build bases,stick.svg:1,stick.svg:2,,,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Gum gum gatling,2,candy.svg:1,No,No,,1,Add to Sandbox,,effect,,,,,,,,,,,,Market card,yes,When using a card with the candy tag: +1 resource,"May 13, 2026 12:51 PM",No,No,,
But it’s an emergency,2,backpack.svg:1,No,No,,1,Add to Sandbox,,effect,,,,,,,,,,,,Market card,yes,When using a card with the backpack tag: +1 resource,"May 13, 2026 12:51 PM",No,No,,
Scared of germs,2,,No,No,,1,Put permanently at back of line,,dirt specialist: build bases,stick.svg:1,,,,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
My turn,2,,No,No,Move 1 card to the front of the Monkey Bars,1,,,dirt specialist: build bases,stick.svg:1,cardmove.svg:1,,,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Teacher’s pet,2,backpack.svg:1,No,No,+2 hall passes,1,,,hall monitor: move kids,hall_pass.svg:1,hallway.svg:2,,,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Jaw strengthening,2,candy.svg:1,No,No,+2 gumballs,1,,,all cliques,all_cliques.svg:1,gumball.svg:2,,,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Scared of heights,2,,No,No,,1,Put permanently at back of line,,hall monitor: move kids,hall_pass.svg:1,,,,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Food fight,2,"banana.svg:1, flex.svg:1",No,No,"Swap up to 2 lunch money for extra intimidation, 1:1",1,,,PE enthusiast: scuffle 1x/+1 rock,scuffle.svg:1,lunch_money.svg:1,trade.svg:1,intimidation.svg:1,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",Yes,No,,
Roll and calculate,2,"dice.svg:1, wild.svg:1",No,No,"Roll a die for +2 resources <br>
1 → lunch money <br>
2 → hall pass <br>
3 → stick <br>
4 → gumball",1,,,mathlete: recruit kids,lunch_money.svg:1,roll.svg:1,if.svg:1,resource.svg:1,blank.svg:1,blank.svg:1,resource.svg:1,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Mommy’s treat,2,banana.svg:1,No,No,+2 lunch money,1,,,mathlete: recruit kids,lunch_money.svg:1,lunch_money.svg:2,,,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
