"name","clique","background_path","clique_icon_path","effect_icon_path","played_power","cost"
"Skirmish","hall monitor: move kids","backgrounds\Hall_Monitor.jpg","icons\hall_pass.svg","icons\Initiate a scuffle","Initiate a scuffle","1"
"Dirt cheeks","dirt specialist: build bases","backgrounds\Dirt_Specialist.jpg","icons\stick.svg","icons\+1 resource","+1 resource","1"
"Brown nose","hall monitor: move kids","backgrounds\Hall_Monitor.jpg","icons\hall_pass.svg","icons\+1 resource","+1 resource","1"
"Tussle","mathlete: recruit kids","backgrounds\Mathlete.jpg","icons\lunch_money.svg","icons\Initiate a scuffle","Initiate a scuffle","1"
"What’re the odds","effect","backgrounds\Sandbox.jpg","icons\blank.svg","icons\blank.svg","","1"
"Get going","mathlete: recruit kids","backgrounds\Mathlete.jpg","icons\lunch_money.svg","icons\Move kids (still pay the cost)","Move kids (still pay the cost)","1"
"Beef up","PE enthusiast: scuffle 1x/+1 rock","backgrounds\PE_Enthusiast.jpg","icons\scuffle.svg","icons\+1 rock on scuffles this turn","+1 rock on scuffles this turn","1"
"Whip it up","dirt specialist: build bases","backgrounds\Dirt_Specialist.jpg","icons\stick.svg","icons\Recruit kids (still pay the cost)","Recruit kids (still pay the cost)","1"
"Your hands are too clean","dirt specialist: build bases","backgrounds\Dirt_Specialist.jpg","icons\stick.svg","icons\Move 2 cards to the back of the line","Move 2 cards to the back of the line","1"
"Time’s up","hall monitor: move kids","backgrounds\Hall_Monitor.jpg","icons\hall_pass.svg","icons\Move 2 cards to the back of the line","Move 2 cards to the back of the line","1"
"Ruckus","dirt specialist: build bases","backgrounds\Dirt_Specialist.jpg","icons\stick.svg","icons\Initiate a scuffle","Initiate a scuffle","1"
"Tight grip","dirt specialist: build bases","backgrounds\Dirt_Specialist.jpg","icons\stick.svg","icons\Keep the other card you play(ed) this turn in place","Keep the other card you play(ed) this turn in place","1"
"Double scuffle","PE enthusiast: scuffle 1x/+1 rock","backgrounds\PE_Enthusiast.jpg","icons\scuffle.svg","icons\Initiate an extra scuffle with a second player","Initiate an extra scuffle with a second player","1"
"Sloppy joe mouth","mathlete: recruit kids","backgrounds\Mathlete.jpg","icons\lunch_money.svg","icons\+1 resource","+1 resource","1"
"By my calculations","mathlete: recruit kids","backgrounds\Mathlete.jpg","icons\lunch_money.svg","icons\Move 2 cards to the back of the line","Move 2 cards to the back of the line","1"
"Scared of bars","mathlete: recruit kids","backgrounds\Mathlete.jpg","icons\lunch_money.svg","icons\blank.svg","","2"
"Stick it to them","PE enthusiast: scuffle 1x/+1 rock","backgrounds\PE_Enthusiast.jpg","icons\scuffle.svg","icons\Swap up to 2 sticks for extra intimidation, 1","Swap up to 2 sticks for extra intimidation, 1:1","2"
"Complayground interest","effect","backgrounds\Sandbox.jpg","icons\blank.svg","icons\blank.svg","","2"
"Nice and stuck","effect","backgrounds\Sandbox.jpg","icons\blank.svg","icons\blank.svg","","2"
"Scared of monkeys","PE enthusiast: scuffle 1x/+1 rock","backgrounds\PE_Enthusiast.jpg","icons\scuffle.svg","icons\blank.svg","","2"
"Main squeeze","hall monitor: move kids","backgrounds\Hall_Monitor.jpg","icons\hall_pass.svg","icons\Pick a player—they are now your boyfriend; to scuffle, you have to break up, which costs them an action but is free for you. <br>
Swap 1 resource with your boyfriend.","Pick a player—they are now your boyfriend; to scuffle, you have to break up, which costs them an action but is free for you. <br>
Swap 1 resource with your boyfriend.","2"
"Rummage","dirt specialist: build bases","backgrounds\Dirt_Specialist.jpg","icons\stick.svg","icons\+2 sticks","+2 sticks","2"
"Gum gum gatling","effect","backgrounds\Sandbox.jpg","icons\blank.svg","icons\blank.svg","","2"
"But it’s an emergency","effect","backgrounds\Sandbox.jpg","icons\blank.svg","icons\blank.svg","","2"
"Scared of germs","dirt specialist: build bases","backgrounds\Dirt_Specialist.jpg","icons\stick.svg","icons\blank.svg","","2"
"My turn","dirt specialist: build bases","backgrounds\Dirt_Specialist.jpg","icons\stick.svg","icons\Move 1 card to the front of the Monkey Bars","Move 1 card to the front of the Monkey Bars","2"
"Teacher’s pet","hall monitor: move kids","backgrounds\Hall_Monitor.jpg","icons\hall_pass.svg","icons\+2 hall passes","+2 hall passes","2"
"Jaw strengthening","all cliques","backgrounds\All_Cliques.jpg","icons\all_cliques.svg","icons\+2 gumballs","+2 gumballs","2"
"Scared of heights","hall monitor: move kids","backgrounds\Hall_Monitor.jpg","icons\hall_pass.svg","icons\blank.svg","","2"
"Food fight","PE enthusiast: scuffle 1x/+1 rock","backgrounds\PE_Enthusiast.jpg","icons\scuffle.svg","icons\Swap up to 2 lunch money for extra intimidation, 1","Swap up to 2 lunch money for extra intimidation, 1:1","2"
"Roll and calculate","mathlete: recruit kids","backgrounds\Mathlete.jpg","icons\lunch_money.svg","icons\Roll a die for +2 resources <br>
1 → lunch money <br>
2 → hall pass <br>
3 → stick <br>
4 → gumball","Roll a die for +2 resources <br>
1 → lunch money <br>
2 → hall pass <br>
3 → stick <br>
4 → gumball","2"
"Mommy’s treat","mathlete: recruit kids","backgrounds\Mathlete.jpg","icons\lunch_money.svg","icons\+2 lunch money","+2 lunch money","2"
"Bubble battle","PE enthusiast: scuffle 1x/+1 rock","backgrounds\PE_Enthusiast.jpg","icons\scuffle.svg","icons\Swap up to 2 gumballs for extra intimidation, 1","Swap up to 2 gumballs for extra intimidation, 1:1","2"
"Teacher-sanctioned fight","PE enthusiast: scuffle 1x/+1 rock","backgrounds\PE_Enthusiast.jpg","icons\scuffle.svg","icons\Swap up to 2 hall passes for extra intimidation, 1","Swap up to 2 hall passes for extra intimidation, 1:1","2"
"Creatine child","PE enthusiast: scuffle 1x/+1 rock","backgrounds\PE_Enthusiast.jpg","icons\scuffle.svg","icons\+2 rocks on scuffles this turn","+2 rocks on scuffles this turn","3"
"Friendship handcuffs","hall monitor: move kids","backgrounds\Hall_Monitor.jpg","icons\hall_pass.svg","icons\Take a resource of your choice from all players with at least one token on Friendship Bracelet","Take a resource of your choice from all players with at least one token on Friendship Bracelet","3"
"Peach fuzz","effect","backgrounds\Sandbox.jpg","icons\blank.svg","icons\blank.svg","","3"
"Young & wild & free","dirt specialist: build bases","backgrounds\Dirt_Specialist.jpg","icons\stick.svg","icons\blank.svg","","3"
"Stop, drop, and roll","hall monitor: move kids","backgrounds\Hall_Monitor.jpg","icons\hall_pass.svg","icons\Roll a die for +3 resources <br>
1 → lunch money <br>
2 → hall pass <br>
3 → stick <br>
4 → gumball","Roll a die for +3 resources <br>
1 → lunch money <br>
2 → hall pass <br>
3 → stick <br>
4 → gumball","3"
"Rock out with my chalk out","effect","backgrounds\Sandbox.jpg","icons\blank.svg","icons\blank.svg","","3"
"One and done","mathlete: recruit kids","backgrounds\Mathlete.jpg","icons\lunch_money.svg","icons\Replace with a card that costs up to 3 gumballs more than this one. If you do, no buying from the Slide this turn.","Replace with a card that costs up to 3 gumballs more than this one. If you do, no buying from the Slide this turn.","3"
"Confidence builder","effect","backgrounds\Sandbox.jpg","icons\blank.svg","icons\blank.svg","","3"
"Advantage","effect","backgrounds\Sandbox.jpg","icons\blank.svg","icons\blank.svg","","3"
"Unorthodox play","dirt specialist: build bases","backgrounds\Dirt_Specialist.jpg","icons\stick.svg","icons\+2 any resource","+2 any resource","3"
"Big bubbles","all cliques","backgrounds\All_Cliques.jpg","icons\all_cliques.svg","icons\+3 gumballs","+3 gumballs","3"
"Insecure bully","PE enthusiast: scuffle 1x/+1 rock","backgrounds\PE_Enthusiast.jpg","icons\scuffle.svg","icons\If you win a scuffle this turn: +1 action","If you win a scuffle this turn: +1 action","4"
"Scout’s honor","mathlete: recruit kids","backgrounds\Mathlete.jpg","icons\lunch_money.svg","icons\Play a base","Play a base","4"
"Noogie","PE enthusiast: scuffle 1x/+1 rock","backgrounds\PE_Enthusiast.jpg","icons\scuffle.svg","icons\Scuffle all players, then:
1. You get +1 resource <br>
2. Winner(s) gets +1 resource <br>
3. Replace this card with Clout if you won without ties","Scuffle all players, then:
1. You get +1 resource <br>
2. Winner(s) gets +1 resource <br>
3. Replace this card with Clout if you won without ties","4"
"Roll in mud","dirt specialist: build bases","backgrounds\Dirt_Specialist.jpg","icons\stick.svg","icons\Roll a die for +4 resources <br>
1 → lunch money <br>
2 → hall pass <br>
3 → stick <br>
4 → gumball","Roll a die for +4 resources <br>
1 → lunch money <br>
2 → hall pass <br>
3 → stick <br>
4 → gumball","4"
"Deck master 300","hall monitor: move kids","backgrounds\Hall_Monitor.jpg","icons\hall_pass.svg","icons\Play any one of your cards","Play any one of your cards","4"
"4 square","mathlete: recruit kids","backgrounds\Mathlete.jpg","icons\lunch_money.svg","icons\Gain 1 of every resource","Gain 1 of every resource","4"
"C’mere for a sec","dirt specialist: build bases","backgrounds\Dirt_Specialist.jpg","icons\stick.svg","icons\Recruit a kid","Recruit a kid","4"
